Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Aruba (ABW)","Employment in agriculture, male (% of male employment) (SL.AGR.EMPL.MA.ZS)","2010 (YR2010)","Population census. Data reference period: September | Age coverage - minimum age: 14 years old."
FootNote,"Aruba (ABW)","Employment in agriculture, male (% of male employment) (SL.AGR.EMPL.MA.ZS)","2011 (YR2011)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2010 (YR2010)","Population census. Data reference period: September | Age coverage - minimum age: 14 years old."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2011 (YR2011)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Afghanistan (AFG)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2011 (YR2011)","Source : World Bank estimates  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Afghanistan (AFG)","Rural poverty headcount ratio at national poverty lines (% of rural population) (SI.POV.RUHC)","2011 (YR2011)","Source : World Bank estimates  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Afghanistan (AFG)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2011 (YR2011)","Source : World Bank estimates  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Income share held by lowest 10% (SI.DST.FRST.10)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","GINI index (World Bank estimate) (SI.POV.GINI)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2012 (YR2012)","Source : Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Rural poverty headcount ratio at national poverty lines (% of rural population) (SI.POV.RUHC)","2012 (YR2012)","Source : Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2012 (YR2012)","Source : Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) (SI.SPR.PC40)","2012 (YR2012)","Estimated from individual consumption data."
