Type,"Country Code","Series Code","Description"
Country-Series,"Aruba (ABW)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics, Eurostat"
Country-Series,"Albania (ALB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Andorra (AND)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Andorra (AND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Population, total (SP.POP.TOTL)","Data sources : Australian Bureau of Statistics"
Country-Series,"Australia (AUS)","Population growth (annual %) (SP.POP.GROW)","Data sources: Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Austria (AUT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Azerbaijan (AZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Azerbaijan (AZE)","Population growth (annual %) (SP.POP.GROW)","Data sources: Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Belgium (BEL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Benin (BEN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
