Time,"Time Code","Country Name","Country Code","Agricultural irrigated land (% of total agricultural land) [AG.LND.IRIG.AG.ZS]","Agricultural machinery, tractors [AG.AGR.TRAC.NO]","Agricultural machinery, tractors per 100 sq. km of arable land [AG.LND.TRAC.ZS]","Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN]","Agricultural raw materials imports (% of merchandise imports) [TM.VAL.AGRI.ZS.UN]","Agriculture value added per worker (constant 2010 US$) [EA.PRD.AGRI.KD]","Agricultural land (% of land area) [AG.LND.AGRI.ZS]","Depth of the food deficit (kilocalories per person per day) [SN.ITK.DFCT]","Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN]","Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN]","Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD]","Fertilizer consumption (% of fertilizer production) [AG.CON.FERT.PT.ZS]","Fertilizer consumption (kilograms per hectare of arable land) [AG.CON.FERT.ZS]","Droughts, floods, extreme temperatures (% of population, average 1990-2009) [EN.CLC.MDAT.ZS]","Population growth (annual %) [SP.POP.GROW]","Agriculture, value added (annual % growth) [NV.AGR.TOTL.KD.ZG]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Rural poverty gap at national poverty lines (%) [SI.POV.RUGP]","Urban poverty gap at national poverty lines (%) [SI.POV.URGP]","Employment in agriculture (% of total employment) [SL.AGR.EMPL.ZS]","Account, income, poorest 40% (% ages 15+) [ts] [WP_time_10.8]","Gross domestic income (constant LCU) [NY.GDY.TOTL.KN]","Income share held by lowest 10% [SI.DST.FRST.10]","Income share held by lowest 20% [SI.DST.FRST.20]","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) [SI.SPR.PC40]","GDP (current US$) [NY.GDP.MKTP.CD]","Population, total [SP.POP.TOTL]","Arable land (hectares) [AG.LND.ARBL.HA]","Arable land (hectares per person) [AG.LND.ARBL.HA.PC]","Agricultural land (sq. km) [AG.LND.AGRI.K2]","Land area (sq. km) [AG.LND.TOTL.K2]","Rural land area (sq. km) [AG.LND.TOTL.RU.K2]","GINI index (World Bank estimate) [SI.POV.GINI]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Arable land (% of land area) [AG.LND.ARBL.ZS]","Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Employment in agriculture, male (% of male employment) [SL.AGR.EMPL.MA.ZS]","Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS]","Improved water source, rural (% of rural population with access) [SH.H2O.SAFE.RU.ZS]","People using basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS]"
2004,"YR2004","Afghanistan","AFG","5.50236079238216","..","..","..","..","545.2407676866","58.0691112949177","292","..","..","95.89","182.187275156748","4.53556806550665","..","4.46891839618783","-22.2374972096684","77.438","..","..","..","..","..","..","..","..","5285465685.86423","24118979","7816000","0.324060151965803","379110","652860","..","..","30.2716744732668","11.9719388536593","..","2.41390109062195","..","..","30.8","27.898316285522",".."
2004,"YR2004","Albania","ALB","..","7574","131.038062283737","4.46365124033259","1.07049398536546","2719.80671220742","40.9489051094891","..","5.66959491054423","19.2638771570178","99.85","..","100.598615916955","..","-0.417931377925999","6.30342526309747","54.349","..","..","58.5400009155273","..","506883596569.587","..","..","..","7314865175.6199","3026939","578000","0.190951981523248","11220","27400","..","..","22.9325210783278","21.0948905109489","..","100","..","65.5782732614305","93.8","81.9997436770952",".."
2004,"YR2004","Algeria","DZA","1.92733017377567","97809","130.533831576138","0.0100632071635807","1.90973585788859","3333.65153549002","17.27518536868","53","0.193619706686166","21.9120884185697","97.94","90.6906530336645","25.0951554784466","..","1.31092413487785","5.35252166346798","36.939","..","..","20.7199993133545","..","4994006569493.94","..","..","..","85324998813.604","32831096","7493000","0.228228749963145","411450","2381740","..","..","10.179062499972","3.14601929681661","..","96.2937850952148","20.3999996185303","99.7379391339997","83.4","84.7537260022045","0.16355"
2004,"YR2004","American Samoa","ASM","..","..","..","..","..","..","25","..","..","..","97.41","..","..","..","0.248350792028606","..","11.802","..","..","..","..","612619047.619048","..","..","..","512000000","59264","3300","0.0556830453563715","50","200","..","..","..","16.5","..","..","..","..","99.5","..",".."
2004,"YR2004","Andorra","AND","..","354","1416","0.607231017108109","0.400673169431348","..","42.3404255319149","..","11.6398695205433","18.1822613601196","..","..","..","..","4.09892347776702","..","9.249","..","..","..","..","..","..","..","..","2916786689.84356","76244","2500","0.0327894654005561","199","470","..","..","0.462915577225484","5.31914893617021","..","100","..","..","100","100",".."
2004,"YR2004","Angola","AGO","..","..","..","..","..","..","46.1939520333681","293","..","..","93.32","..","4.50151515151515","..","3.57396197367573","..","64.595","..","..","..","..","..","..","..","..","19640848728.8937","18865716","3300000","0.174920474791415","575900","1246700","..","..","..","2.6469880484479","..","10.3204097747803","..","31.5616371865686","35.4","23.7075751975349",".."
2004,"YR2004","Antigua and Barbuda","ATG","..","..","..","..","..","2462.58556037059","20.4545454545455","..","..","..","107.2","..","7.5","..","1.09827364264006","-1.95668305455979","70.163","..","..","2.80999994277954","..","2587238533.8789","..","..","..","913710370.37037","88257","4000","0.0453221840760506","90","440","..","..","1.88007830865054","9.09090909090909","..","99.954231262207","4.40000009536743","0","97.8","..",".."
2004,"YR2004","Argentina","ARG","..","..","..","1.63590273824728","1.78913526091806","16154.1737634261","49.0903244430315","12","47.9587453839443","3.30014291035862","92.22","222.144902046064","45.3091145410236","..","1.08860752551001","-1.45769098855052","10.101","..","..","1.1599999666214","..","485115195200","1","3.2","..","164657930452.787","38728696","30775000","0.794630420812516","1343450","2736690","..","50.2","9.83632206716253","11.2453365196643","..","..","1.36000001430511","89.3249676255497","86.2","95.2637005783419","0.40386"
2004,"YR2004","Armenia","ARM","..","..","..","1.67835131033342","1.00425361258361","8587.44674828754","52.8626624517035","139","12.9468038248647","21.6269874604122","86.77","..","31.6505494505495","..","-0.571380943582523","14.5379452023442","35.783","..","..","46.8800010681152","..","1256284174708.07","3.1","7.6","..","3576615240.41616","3000612","455000","0.151635732977139","15050","28470","..","37.5","24.662200003318","15.9817351598174","..","99.1167297363281","48.7799987792969","66.9014276132531","87.6","91.9554325395266","0.25631"
2004,"YR2004","Aruba","ABW","..","..","..","..","..","..","11.1111111111111","..","..","..","..","..","..","..","1.75735286660729","..","54.76","..","..","..","..","..","..","..","..","2228279329.60894","98737","2000","0.0202558311473916","20","180","..","..","0.425777821391383","11.1111111111111","..","99.8613739013672","..","..","95.5","..",".."
