Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2007 (YR2007)","Labour force survey. Data reference period: October."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2010 (YR2010)","Population census. Data reference period: September | Age coverage - minimum age: 14 years old."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2011 (YR2011)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2000 (YR2000)","Population census. Data reference period: October."
FootNote,"Aruba (ABW)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1997 (YR1997)","Labour force survey. Data reference period: October."
FootNote,"Afghanistan (AFG)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2007 (YR2007)","Source : World Bank Source; Poverty figures are not comparable due to seasonality and changes in the questionnaires used  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Afghanistan (AFG)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2011 (YR2011)","Source : World Bank estimates  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Afghanistan (AFG)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2007 (YR2007)","Source : World Bank Source; Poverty figures are not comparable due to seasonality and changes in the questionnaires used  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Afghanistan (AFG)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2011 (YR2011)","Source : World Bank estimates  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2007,2011.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Angola (AGO)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Angola (AGO)","GINI index (World Bank estimate) (SI.POV.GINI)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Angola (AGO)","Income share held by lowest 10% (SI.DST.FRST.10)","2008 (YR2008)","Estimated from unit-record consumption data."
