Country Name,Country Code,Time,Time Code,Agricultural irrigated land (% of total agricultural land) [AG.LND.IRIG.AG.ZS],"Agricultural machinery, tractors [AG.AGR.TRAC.NO]","Agricultural machinery, tractors per 100 sq. km of arable land [AG.LND.TRAC.ZS]",Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN],Agricultural raw materials imports (% of merchandise imports) [TM.VAL.AGRI.ZS.UN],Agriculture value added per worker (constant 2010 US$) [EA.PRD.AGRI.KD],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Depth of the food deficit (kilocalories per person per day) [SN.ITK.DFCT],Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD],Fertilizer consumption (% of fertilizer production) [AG.CON.FERT.PT.ZS],Fertilizer consumption (kilograms per hectare of arable land) [AG.CON.FERT.ZS],"Droughts, floods, extreme temperatures (% of population, average 1990-2009) [EN.CLC.MDAT.ZS]",Population growth (annual %) [SP.POP.GROW],"Agriculture, value added (annual % growth) [NV.AGR.TOTL.KD.ZG]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural poverty gap at national poverty lines (%) [SI.POV.RUGP],Urban poverty gap at national poverty lines (%) [SI.POV.URGP],Employment in agriculture (% of total employment) [SL.AGR.EMPL.ZS],"Account, income, poorest 40% (% ages 15+) [ts] [WP_time_10.8]",Gross domestic income (constant LCU) [NY.GDY.TOTL.KN],Income share held by lowest 10% [SI.DST.FRST.10],Income share held by lowest 20% [SI.DST.FRST.20],"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) [SI.SPR.PC40]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]"
Afghanistan,AFG,1997,YR1997,..,110,0.143135979180221,..,..,..,57.8837729375364,329,..,..,96.75,..,..,..,3.08671867160722,..,79.644,..,..,..,..,..,..,..,..,..,18381605
Afghanistan,AFG,1998,YR1998,..,110,0.141807399767952,..,..,..,58.0017155285973,322,..,..,103.06,..,..,..,2.59048544915264,..,79.339,..,..,..,..,..,..,..,..,..,18863999
Afghanistan,AFG,1999,YR1999,..,110,0.143734483209199,..,..,..,57.8270992249487,312,..,..,101.85,..,..,..,2.82072418714503,..,79.03,..,..,..,..,..,..,..,..,..,19403676
Afghanistan,AFG,2000,YR2000,..,110,0.14317323961994,..,..,..,57.8270992249487,309,..,..,85.42,..,..,..,3.49465873827217,..,78.718,..,..,..,..,..,..,..,..,..,20093756
Afghanistan,AFG,2001,YR2001,5.6684237014277,..,..,..,..,..,57.8270992249487,318,..,..,76.81,..,..,..,4.25150411214678,..,78.404,..,..,..,..,..,..,..,..,2461665937.89386,20966463
Afghanistan,AFG,2002,YR2002,4.62214923317352,..,..,..,..,735.291066954858,57.8270992249487,326,..,..,95.34,111.604168446229,3.40336025006512,..,4.72052846249987,..,78.085,..,..,..,..,..,..,..,..,4128820723.04713,21979923
Afghanistan,AFG,2003,YR2003,7.25929833816935,..,..,..,..,727.34425100434,58.0675795729559,321,..,..,98.78,157.065284462545,3.27509006690685,..,4.81804111999567,2.79922332379998,77.763,..,..,..,..,..,..,..,..,4583644246.48061,23064851
Afghanistan,AFG,2004,YR2004,5.50236079238216,..,..,..,..,545.2407676866,58.0691112949177,292,..,..,95.89,182.187275156748,4.53556806550665,..,4.46891839618783,-22.2374972096684,77.438,..,..,..,..,..,..,..,..,5285465685.86423,24118979
Afghanistan,AFG,2005,YR2005,5.84014771828014,..,..,..,..,621.304364994901,58.0675795729559,256,..,..,106.38,211.733094491715,4.24035874439462,..,3.8704701590704,17.6995562384091,77.105,..,..,..,..,..,..,..,..,6275073571.54659,25070798
Afghanistan,AFG,2006,YR2006,6.08546557636508,..,..,..,..,573.553748930718,58.0675795729559,224,..,..,97.73,278.022227262418,6.29099307159353,..,3.22862984319083,-5.10828004564108,76.763,..,..,..,..,..,..,..,..,7057598406.61553,25893450
